BreedName;Trait
Norwegian Buhund;Friendly
Norwegian Buhund;Fun-loving
Norwegian Elkhound;Alert
Norwegian Elkhound;Bold
Norwegian Elkhound;Hardy
Norwegian Elkhound;Loyal
Norwegian Elkhound;Playful
Norwegian Elkhound;Strong-willed
Norwegian Elkhound;Intelligent
Norwegian Lundehund;Alert
Norwegian Lundehund;Energetic
Norwegian Lundehund;Loyal
Norwegian Lundehund;Protective
Norwich Terrier;Affectionate
Norwich Terrier;Energetic
Norwich Terrier;Hardy
Norwich Terrier;Intelligent
Norwich Terrier;Sensitive
Nova Scotia Duck-Tolling Retriever;Affectionate
Nova Scotia Duck-Tolling Retriever;Alert
Nova Scotia Duck-Tolling Retriever;Courageous
Nova Scotia Duck-Tolling Retriever;Energetic
Nova Scotia Duck-Tolling Retriever;Gentle
Nova Scotia Duck-Tolling Retriever;Playful
Nova Scotia Duck-Tolling Retriever;Responsive
Old English Sheepdog;Adaptable
Old English Sheepdog;Bubbly
Old English Sheepdog;Intelligent
Old English Sheepdog;Loving
Old English Sheepdog;Playful
Old English Sheepdog;Sociable
Old English Sheepdog;Protective
Otterhound;Amiable
Otterhound;Boisterous
Otterhound;Even-tempered
Papillon;Alert
Papillon;Energetic
Papillon;Friendly
Papillon;Happy
Papillon;Hardy
Papillon;Intelligent
Patterdale Terrier (Fell Terrier);Bold
Patterdale Terrier (Fell Terrier);Confident
Patterdale Terrier (Fell Terrier);Energetic
Patterdale Terrier (Fell Terrier);Friendly
Patterdale Terrier (Fell Terrier);Inquisitive
Patterdale Terrier (Fell Terrier);Intelligent
Pekingese;Affectionate
Pekingese;Aggressive
Pekingese;Good-natured
Pekingese;Intelligent
Pekingese;Opinionated
Pekingese;Stubborn
Peruvian Inca Orchid;Affectionate
Peruvian Inca Orchid;Alert
Peruvian Inca Orchid;Intelligent
Peruvian Inca Orchid;Lively
Peruvian Inca Orchid;Noble
Peruvian Inca Orchid;Protective
Petit Basset Griffon Vendeen;Active
Petit Basset Griffon Vendeen;Extroverted
Petit Basset Griffon Vendeen;Friendly
Petit Basset Griffon Vendeen;Happy
Petit Basset Griffon Vendeen;Independent
Petit Basset Griffon Vendeen;Lively
Petit Basset Griffon Vendeen;Intelligent
Pharaoh Hound;Active
Pharaoh Hound;Affectionate
Pharaoh Hound;Intelligent
Pharaoh Hound;Playful
Pharaoh Hound;Sociable
Pharaoh Hound;Trainable
Pit Bull Terrier;Affectionate
Pit Bull Terrier;Aggressive
Pit Bull Terrier;Clownish
Pit Bull Terrier;Courageous
Pit Bull Terrier;Friendly
Pit Bull Terrier;Intelligent
Pit Bull Terrier;Loyal
Pit Bull Terrier;Obedient
Pit Bull Terrier;Strong-willed
Pit Bull Terrier;Stubborn
Plott Hound;Alert
Plott Hound;Bold
Plott Hound;Courageous
Plott Hound;Loyal
Podengo Portugueso;Active
Podengo Portugueso;Companionable
Podengo Portugueso;Friendly
Podengo Portugueso;Hardy
Podengo Portugueso;Lively
Podengo Portugueso;Loyal
Pointer;Active
Pointer;Affectionate
Pointer;Amiable
Pointer;Even-tempered
Pointer;Kind
Pointer;Loyal
Pointer;Intelligent
Polish Lowland Sheepdog;Agile
Polish Lowland Sheepdog;Even-tempered
Polish Lowland Sheepdog;Lively
Polish Lowland Sheepdog;Perceptive
Polish Lowland Sheepdog;Self-confident
Pomeranian;Active
Pomeranian;Extroverted
Pomeranian;Friendly
Pomeranian;Intelligent
Pomeranian;Lively
Pomeranian;Playful
Pomeranian;Sociable
Poodle;Active
Poodle;Alert
Poodle;Faithful
Poodle;Instinctual
Poodle;Intelligent
Poodle;Trainable
Standard Poodle;Active
Standard Poodle;Alert
Standard Poodle;Faithful
Standard Poodle;Instinctual
Standard Poodle;Intelligent
Standard Poodle;Trainable
Miniature Poodle;Active
Miniature Poodle;Alert
Miniature Poodle;Faithful
Miniature Poodle;Instinctual
Miniature Poodle;Intelligent
Miniature Poodle;Trainable
Toy Poodle;Active
Toy Poodle;Alert
Toy Poodle;Faithful
Toy Poodle;Instinctual
Toy Poodle;Intelligent
Toy Poodle;Trainable
Portuguese Water Dog;Brave
Portuguese Water Dog;Docile
Portuguese Water Dog;Impetuous
Portuguese Water Dog;Intelligent
Portuguese Water Dog;Obedient
Portuguese Water Dog;Quarrelsome
Presa Canario;Calm
Presa Canario;Dominant
Presa Canario;Gentle
Presa Canario;Strong-willed
Presa Canario;Suspicious
Pug;Affectionate
Pug;Cheerful
Pug;Courageous
Pug;Gentle
Pug;Intelligent
Pug;Friendly
Pug;Outgoing
Pug;Playful
Pug;Loyal
Puli;Agile
Puli;Energetic
Puli;Faithful
Puli;Intelligent
Puli;Loyal
Puli;Obedient
Pumi;Active
Pumi;Intelligent
Pumi;Lively
Pumi;Protective
Pumi;Reserved
Pumi;Vocal
Rat Terrier;Affectioante
Rat Terrier;Alert
Rat Terrier;Inquisitive
Rat Terrier;Lively
Rat Terrier;Loving
Redbone Coonhound;Affectionate
Redbone Coonhound;Companionable
Redbone Coonhound;Energetic
Redbone Coonhound;Familial
Redbone Coonhound;Independent
Redbone Coonhound;Unflappable
Retriever;Confident
Retriever;Friendly
Retriever;Intelligent
Retriever;Kind
Retriever;Reliable
Retriever;Trustworthy
Rhodesian Ridgeback;Dignified
Rhodesian Ridgeback;Intelligent
Rhodesian Ridgeback;Loyal
Rhodesian Ridgeback;Mischevious
Rhodesian Ridgeback;Sensitive
Rhodesian Ridgeback;Strong-willed
Rottweiler;Alert
Rottweiler;Courageous
Rottweiler;Fearless
Rottweiler;Good-natured
Rottweiler;Independent
Rottweiler;Intelligent
Rottweiler;Loyal
Rottweiler;Protective
Saint Bernard;Friendly
Saint Bernard;Gentle
Saint Bernard;Independent
Saint Bernard;Intelligent
Saint Bernard;Outgoing
Saint Bernard;Quiet
Saint Bernard;Social
Saluki;Aloof
Saluki;Intelligent
Saluki;Quiet
Saluki;Reserverd
Saluki;Loyal
Samoyed;Alert
Samoyed;Lively
Samoyed;Friendly
Samoyed;Intelligent
Samoyed;Playful
Samoyed;Sociable
Samoyed;Stubborn
Sarplaninac;Independent
Sarplaninac;Calm
Sarplaninac;Devoted
Sarplaninac;Intelligent
Sarplaninac;Protective
Sarplaninac;Reliable
Schipperke;Agile
Schipperke;Confident
Schipperke;Curious
Schipperke;Faithful
Schipperke;Fearless
Schipperke;Independent
Schipperke;Intelligent
Miniature Schnauzer;Devoted
Miniature Schnauzer;Good-natured
Miniature Schnauzer;Intelligent
Miniature Schnauzer;Lively
Miniature Schnauzer;Playful
Miniature Schnauzer;Trainable
Schnauzer;Devoted
Schnauzer;Good-natured
Schnauzer;Intelligent
Schnauzer;Lively
Schnauzer;Playful
Schnauzer;Trainable
Giant Schnauzer;Devoted
Giant Schnauzer;Good-natured
Giant Schnauzer;Intelligent
Giant Schnauzer;Lively
Giant Schnauzer;Playful
Giant Schnauzer;Trainable
Scottish Deerhound;Dignified
Scottish Deerhound;Docile
Scottish Deerhound;Friendly
Scottish Deerhound;Gentle
Scottish Deerhound;Polite
Scottish Deerhound;Quiet
Scottish Terrier Scottie;Independent
Scottish Terrier Scottie;Fiesty
Scottish Terrier Scottie;Alert
Scottish Terrier Scottie;Playful
Scottish Terrier Scottie;Quick
Scottish Terrier Scottie;Self-assured
Sealyham Terrier;Alert
Sealyham Terrier;Calm
Sealyham Terrier;Even-tempered
Sealyham Terrier;Fearless
Sealyham Terrier;Friendly
Sealyham Terrier;Intelligent
Setter;Strong-willed
Setter;Mischevious
Setter;Gentle
Setter;Energetic
Setter;Intelligent
Shar Pei;Affectionate
Shar Pei;Devoted
Shar Pei;Independent
Shar Pei;Loving
Shar Pei;Reserved
Shar Pei;Suspicious
Sheep Dog;Adaptable
Sheep Dog;Bubbly
Sheep Dog;Intelligent
Sheep Dog;Loving
Sheep Dog;Playful
Sheep Dog;Sociable
Sheep Dog;Protective
Shepherd;Alert
Shepherd;Confident
Shepherd;Courageous
Shepherd;Curious
Shepherd;Intelligent
Shepherd;Loyal
Shepherd;Obedient
Shepherd;Watchful
Shetland Sheepdog Sheltie;Affectionate
Shetland Sheepdog Sheltie;Friendly
Shetland Sheepdog Sheltie;Gentle
Shetland Sheepdog Sheltie;Intelligent
Shetland Sheepdog Sheltie;Lively
Shetland Sheepdog Sheltie;Playful
Shetland Sheepdog Sheltie;Responsive
Shiba Inu;Alert
Shiba Inu;Charming
Shiba Inu;Confident
Shiba Inu;Faithful
Shiba Inu;Fearless
Shiba Inu;Keen
Shiba Inu;Outgoing
Shih Tzu;Active
Shih Tzu;Courageous
Shih Tzu;Friendly
Shih Tzu;Gentle
Shih Tzu;Happy
Shih Tzu;Intelligent
Shih Tzu;Lively
Shih Tzu;Outgoing
Shih Tzu;Playful
Siberian Husky;Alert
Siberian Husky;Friendly
Siberian Husky;Gentle
Siberian Husky;Intelligent
Siberian Husky;Outgoing
Silky Terrier;Alert
Silky Terrier;Friendly
Silky Terrier;Inquisitive
Silky Terrier;Joyful
Silky Terrier;Quick
Silky Terrier;Responsive
Silky Terrier;Intelligent
Skye Terrier;Loyal
Skye Terrier;Fearless
Skye Terrier;Friendly
Skye Terrier;Good-tempered
Skye Terrier;Intelligent
Sloughi;Alert
Sloughi;Faithful
Sloughi;Intelligent
Sloughi;Sensitive
Sloughi;Independent
Sloughi;Playful
Sloughi;Sweet
Smooth Fox Terrier;Active
Smooth Fox Terrier;Affectionate
Smooth Fox Terrier;Alert
Smooth Fox Terrier;Fearless
Smooth Fox Terrier;Intelligent
Smooth Fox Terrier;Playful
South Russian Ovtcharka;Active
South Russian Ovtcharka;Balanced
South Russian Ovtcharka;Courageous
South Russian Ovtcharka;Lively
South Russian Ovtcharka;Nervous
Spaniel;Even Tempered
Spaniel;Joyful
Spaniel;Merry
Spaniel;Outgoing
Spaniel;Intelligent
Spaniel;Sociable
Spaniel;Trusting
Spitz;Alert
Spitz;Energetic
Spitz;Friendly
Spitz;Independent
Spitz;Intelligent
Spitz;Protective
Staffordshire Bull Terrier;Affectionate
Staffordshire Bull Terrier;Bold
Staffordshire Bull Terrier;Courageous
Staffordshire Bull Terrier;Fearless
Staffordshire Bull Terrier;Intelligent
Staffordshire Bull Terrier;Reliable
Sussex Spaniel;Calm
Sussex Spaniel;Cheerful
Sussex Spaniel;Companionable
Sussex Spaniel;Devoted
Sussex Spaniel;Friendly
Sussex Spaniel;Sociable
Swedish Vallhund;Alert
Swedish Vallhund;Energetic
Swedish Vallhund;Fearless
Swedish Vallhund;Friendly
Swedish Vallhund;Watchful
Terrier;Affectionate
Terrier;Alert
Terrier;Courageous
Terrier;Intelligent
Terrier;Friendly
Terrier;Hardy
Terrier;Independent
Thai Ridgeback;Familial
Thai Ridgeback;Independent
Thai Ridgeback;Loving
Thai Ridgeback;Loyal
Thai Ridgeback;Protective
Tibetan Mastiff;Aloof
Tibetan Mastiff;Protective
Tibetan Mastiff;Strong-willed
Tibetan Mastiff;Stubborn
Tibetan Mastiff;Courageous
Tibetan Mastiff;Loyal
Tibetan Spaniel;Intelligent
Tibetan Spaniel;Assertive
Tibetan Spaniel;Aloof
Tibetan Spaniel;Happy
Tibetan Spaniel;Independent
Tibetan Spaniel;Willful
Tibetan Terrier;Affectionate
Tibetan Terrier;Amiable
Tibetan Terrier;Energetic
Tibetan Terrier;Gentle
Tibetan Terrier;Reserved
Tibetan Terrier;Sensitive
Tibetan Terrier;Intelligent
Tosa Inu;Aggressive
Tosa Inu;Brave
Tosa Inu;Fearless
Tosa Inu;Intelligent
Tosa Inu;Sensitive
Tosa Inu;Suspicious
Toy Fox Terrier;Alert
Toy Fox Terrier;Friendly
Toy Fox Terrier;Intelligent
Toy Fox Terrier;Loyal
Toy Fox Terrier;Playful
Toy Fox Terrier;Spirited
Treeing Walker Coonhound;Affectionate
Treeing Walker Coonhound;Clever
Treeing Walker Coonhound;Confident
Treeing Walker Coonhound;Loving
Treeing Walker Coonhound;Trainable
Vizsla;Affectionate
Vizsla;Cheerful
Vizsla;Energetic
Vizsla;Gentle
Vizsla;Intelligent
Vizsla;Playful
Vizsla;Protective
Vizsla;Quiet
Weimaraner;Alert
Weimaraner;Aloof
Weimaraner;Energetic
Weimaraner;Fast
Weimaraner;Intelligent
Weimaraner;Powerful
Weimaraner;Steady
Weimaraner;Stubborn
Weimaraner;Social
Welsh Corgi;Active
Welsh Corgi;Affectionate
Welsh Corgi;Alert
Welsh Corgi;Companionable
Welsh Corgi;Devoted
Welsh Corgi;Gentle
Welsh Corgi;Intelligent
Cardigan;Active
Cardigan;Affectionate
Cardigan;Alert
Cardigan;Companionable
Cardigan;Devoted
Cardigan;Gentle
Cardigan;Intelligent
Pembroke;Active
Pembroke;Affectionate
Pembroke;Alert
Pembroke;Companionable
Pembroke;Devoted
Pembroke;Gentle
Pembroke;Intelligent
Welsh Springer Spaniel;Affectionate
Welsh Springer Spaniel;Loyal
Welsh Springer Spaniel;Active
Welsh Springer Spaniel;Friendly
Welsh Springer Spaniel;Playful
Welsh Springer Spaniel;Stubborn
Welsh Springer Spaniel;Intelligent
Welsh Terrier;Alert
Welsh Terrier;Friendly
Welsh Terrier;Intelligent
Welsh Terrier;Spirited
Welsh Terrier;Independent
Welsh Terrier;Loving
West Highland White Terrier Westie;Affectionate
West Highland White Terrier Westie;Alert
West Highland White Terrier Westie;Courageous
West Highland White Terrier Westie;Intelligent
West Highland White Terrier Westie;Friendly
West Highland White Terrier Westie;Hardy
West Highland White Terrier Westie;Independent
Wheaten Terrier;Affectionate
Wheaten Terrier;Energetic
Wheaten Terrier;Faithful
Wheaten Terrier;Intelligent
Wheaten Terrier;Playful
Wheaten Terrier;Spirited
Whippet;Affectionate
Whippet;Friendly
Whippet;Gentle
Whippet;Intelligent
Whippet;Lively
Whippet;Quiet
White German Shepherd;Alert
White German Shepherd;Confident
White German Shepherd;Courageous
White German Shepherd;Curious
White German Shepherd;Intelligent
White German Shepherd;Loyal
White German Shepherd;Obedient
White German Shepherd;Watchful
Wire Fox Terrier;Alert
Wire Fox Terrier;Bold
Wire Fox Terrier;Fearless
Wire Fox Terrier;Friendly
Wire Fox Terrier;Keen
Wire Fox Terrier;Quick
Wire Fox Terrier;Intelligent
Wire-haired Pointing Griffon;Gentle
Wire-haired Pointing Griffon;Loyal
Wire-haired Pointing Griffon;Proud
Wire-haired Pointing Griffon;Trainable
Wire-haired Pointing Griffon;Vigilant
Wire-haired Pointing Griffon;Intelligent
Wirehaired Terrier;Alert
Wirehaired Terrier;Bold
Wirehaired Terrier;Fearless
Wirehaired Terrier;Friendly
Wirehaired Terrier;Keen
Wirehaired Terrier;Quick
Wirehaired Terrier;Intelligent
Xoloitzcuintle/Mexican Hairless;Aleret
Xoloitzcuintle/Mexican Hairless;Calm
Xoloitzcuintle/Mexican Hairless;Cheerful
Xoloitzcuintle/Mexican Hairless;Companionable
Xoloitzcuintle/Mexican Hairless;Loyal
Xoloitzcuintle/Mexican Hairless;Protective
Yellow Labrador Retriever;Affectionate
Yellow Labrador Retriever;Alert
Yellow Labrador Retriever;Cheerful
Yellow Labrador Retriever;Energetic
Yellow Labrador Retriever;Friendly
Yellow Labrador Retriever;Gentle
Yellow Labrador Retriever;Intelligent
Yellow Labrador Retriever;Loving
Yellow Labrador Retriever;Loyal
Yellow Labrador Retriever;Outgoing
Yellow Labrador Retriever;Playful
Yellow Labrador Retriever;Responsive
Yellow Labrador Retriever;Social
Yorkshire Terrier Yorkie;Alert
Yorkshire Terrier Yorkie;Courageous
Yorkshire Terrier Yorkie;Energetic
Yorkshire Terrier Yorkie;Independent
Yorkshire Terrier Yorkie;Intelligent
Yorkshire Terrier Yorkie;Loyal
Yorkshire Terrier Yorkie;Playful
